N,W,Tiempo
1,50,3.33831e-05
2,50,0.00091716
3,50,0.00150496
4,50,0.0016089
5,50,0.00256806
6,50,0.00278073
7,50,0.00446545
8,50,0.00515495
9,50,0.00899607
10,50,0.0101564
11,50,0.0173474
12,50,0.0197789
13,50,0.0239839
14,50,0.0283442
15,50,0.0381893
16,50,0.0480057
17,50,0.0661761
18,50,0.0840092
19,50,0.121706
20,50,0.158533
21,50,0.23108
22,50,0.306918
23,50,0.454669
24,50,0.573327
25,50,0.883853
26,50,1.14341
27,50,1.73869
28,50,2.24477
29,50,3.42965
30,50,4.36577
1,100,3.25479e-05
2,100,0.000897678
3,100,0.00156487
4,100,0.00161591
5,100,0.00259965
6,100,0.00278704
7,100,0.00442803
8,100,0.00488662
9,100,0.00875299
10,100,0.0101905
11,100,0.0201637
12,100,0.0242634
13,100,0.0388641
14,100,0.048098
15,100,0.0608447
16,100,0.0777493
17,100,0.103957
18,100,0.135483
19,100,0.184251
20,100,0.245568
21,100,0.348445
22,100,0.471354
23,100,0.645528
24,100,0.898403
25,100,1.25921
26,100,1.75411
27,100,2.46113
28,100,3.36349
29,100,4.74002
30,100,6.68552
1,150,3.17122e-05
2,150,0.000899329
3,150,0.00150359
4,150,0.00160293
5,150,0.00258863
6,150,0.00279499
7,150,0.00448867
8,150,0.00496075
9,150,0.00862466
10,150,0.00983496
11,150,0.0187396
12,150,0.0223491
13,150,0.0437754
14,150,0.0553313
15,150,0.0786417
16,150,0.101087
17,150,0.126895
18,150,0.172813
19,150,0.220933
20,150,0.324971
21,150,0.413746
22,150,0.586256
23,150,0.794642
24,150,1.13018
25,150,1.5233
26,150,2.1871
27,150,2.97789
28,150,4.24877
29,150,5.90466
30,150,8.428
1,200,3.1714e-05
2,200,0.00089368
3,200,0.00151023
4,200,0.00171586
5,200,0.00258087
6,200,0.00279289
7,200,0.00435535
8,200,0.00480663
9,200,0.00861114
10,200,0.00952436
11,200,0.0182669
12,200,0.0207608
13,200,0.0435214
14,200,0.0522935
15,200,0.0915499
16,200,0.118518
17,200,0.145618
18,200,0.200639
19,200,0.253078
20,200,0.363875
21,200,0.45808
22,200,0.672149
23,200,0.875074
24,200,1.29573
25,200,1.74117
26,200,2.54101
27,200,3.34193
28,200,5.01359
29,200,6.67673
30,200,9.92654
